feature_id,namespace,key,english_present,present_locale_count,missing_locales,extra_locales,same_as_english_locales,source_file,availability
COMFY-SETTING-003,main,assetBrowser.errorModelTypeNotSupported,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorNetworkError,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorNetworkTimeout,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorRateLimited,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorRequestCancelled,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorResourceNotFound,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorServiceUnavailable,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorSourceServerError,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorUnauthorized,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorUnauthorizedSource,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorUnknown,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorUnsafePickleScan,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorUnsafeVirusScan,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorUnsupportedSource,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorUploadFailed,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorUserTokenAccessDenied,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorUserTokenInvalid,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.failedToCreateNode,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.failedToSetModelValue,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.fileFormats,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.fileName,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.fileSize,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.filterBy,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.findInLibrary,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.finish,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.genericLinkPlaceholder,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.gridView,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.importAnother,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.imported,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.invalidAsset,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.invalidAssetDetail,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.invalidFilename,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.invalidFilenameDetail,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.jobId,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.listView,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.loadingModels,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.maxFileSize,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.maxFileSizeValue,yes,13,,,en | es | he | ja | ko | pt-BR | tr | zh | zh-TW,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.media.audioPlaceholder,yes,13,,,en | es | fr,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.media.threeDModelPlaceholder,yes,13,,,en | tr,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.missingModelImportTypeLocked,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.missingModelImportTypeMismatchAlreadyImported,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.missingModelImportTypeMismatchNextAction,yes,13,,,en,src/locales/en/main.json,active
