feature_id,source_file,module,domain,public_functions,classes,function_count,class_count,command_ids,classification,evidence_level
COMFY-CLI-MODULE-55B97417E63E,comfy_cli/execution_errors.py,comfy_cli.execution_errors,core service,parse_error_message | is_transient_auth | classify,,3,0,,production module,code-inferred
COMFY-CLI-MODULE-B582C9EF5357,comfy_cli/file_utils.py,comfy_cli.file_utils,core service,guess_status_code_reason | check_unauthorized | download_file | list_git_tracked_files | zip_files | upload_file_to_signed_url | extract_package_as_zip,DownloadException | _TransientHTTPStatusError,18,2,,production module,code-inferred
COMFY-CLI-MODULE-DCBFEBC25BBB,comfy_cli/fragments.py,comfy_cli.fragments,core service,parse_fragment | load_fragment | resolve_fragment_name | decompose_workflow | compose_blueprint | compose_blueprints,FragmentError | BlueprintError | RefResolutionError | AssetError | VarError | FragmentPort | Fragment | _StepOutput | Pipeline,31,9,,production module,code-inferred
COMFY-CLI-MODULE-CA83272C1BB7,comfy_cli/git_utils.py,comfy_cli.git_utils,core service,sanitize_for_local_branch | git_checkout_tag | checkout_pr,,3,0,,production module,code-inferred
COMFY-CLI-MODULE-527A39DF8D77,comfy_cli/help_json.py,comfy_cli.help_json,core service,build_help_json | iter_command_paths,,7,0,,production module,code-inferred
COMFY-CLI-MODULE-0DF0AA408B71,comfy_cli/host_port.py,comfy_cli.host_port,core service,validate_host | parse_host_port_arg | resolve_host_port,,5,0,,production module,code-inferred
COMFY-CLI-MODULE-A830A19E7CB9,comfy_cli/http.py,comfy_cli.http,core service,,NoRedirectHandler,2,1,,production module,code-inferred
COMFY-CLI-MODULE-1808D90212C7,comfy_cli/jobs_state.py,comfy_cli.jobs_state,core service,state_dir | state_path | write | read | new,JobState,8,1,,production module,code-inferred
COMFY-CLI-MODULE-2B0203062D51,comfy_cli/locking.py,comfy_cli.locking,core service,file_lock,,7,0,,production module,code-inferred
COMFY-CLI-MODULE-28A8BFB6C5B9,comfy_cli/logging.py,comfy_cli.logging,core service,setup_logging | debug | info | warning | error,,5,0,,production module,code-inferred
COMFY-CLI-MODULE-966C3B937B38,comfy_cli/onboarding.py,comfy_cli.onboarding,core service,should_nudge_setup | mark_setup_nudged,,3,0,,production module,code-inferred
COMFY-CLI-MODULE-84C4824FD5D1,comfy_cli/output/__init__.py,comfy_cli.output.__init__,output and presentation,,,0,0,,production module,code-inferred
COMFY-CLI-MODULE-6880561F8E35,comfy_cli/output/branding.py,comfy_cli.output.branding,output and presentation,branded_panel | cli_footer | gradient_text | gradient_block | welcome_banner | whoami_banner | intro_banner | signed_out_banner,,15,0,,production module,code-inferred
COMFY-CLI-MODULE-C03AD69C520A,comfy_cli/output/glyphs.py,comfy_cli.output.glyphs,output and presentation,status_glyph | glyph_only,,3,0,,production module,code-inferred
COMFY-CLI-MODULE-F2E9B0506C0D,comfy_cli/output/panels.py,comfy_cli.output.panels,output and presentation,error_panel | discover_panel | which_panel | auth_list_table | auth_empty_panel,,6,0,,production module,code-inferred
COMFY-CLI-MODULE-21F623160519,comfy_cli/output/preview.py,comfy_cli.output.preview,output and presentation,preview,,5,0,,production module,code-inferred
COMFY-CLI-MODULE-4A1DF087918A,comfy_cli/output/renderer.py,comfy_cli.output.renderer,output and presentation,set_renderer | get_renderer | reset_renderer_for_testing,OutputMode | Renderer,29,2,,production module,code-inferred
COMFY-CLI-MODULE-B86E8548514D,comfy_cli/output/rich_compat.py,comfy_cli.output.rich_compat,output and presentation,rprint | console_print,,2,0,,production module,code-inferred
COMFY-CLI-MODULE-5F842E8900E2,comfy_cli/pr_cache.py,comfy_cli.pr_cache,core service,,PRCache,18,1,,production module,code-inferred
COMFY-CLI-MODULE-788E9C7E9A08,comfy_cli/project.py,comfy_cli.project,core service,find_project | unknown_dirs | journal | read_assets_lock | make_asset_resolver | make_var_resolver | read_journal,Project,10,1,,production module,code-inferred
COMFY-CLI-MODULE-33FC23A2D3AF,comfy_cli/registry/__init__.py,comfy_cli.registry.__init__,custom-node registry,,,0,0,,production module,code-inferred
COMFY-CLI-MODULE-4E3ECC526086,comfy_cli/registry/api.py,comfy_cli.registry.api,custom-node registry,map_node_version | map_node_to_node_class | serialize_license,RegistryAPI,8,1,,production module,code-inferred
COMFY-CLI-MODULE-AFD7F69A9176,comfy_cli/registry/config_parser.py,comfy_cli.registry.config_parser,custom-node registry,create_comfynode_config | sanitize_node_name | validate_and_extract_os_classifiers | validate_and_extract_accelerator_classifiers | validate_version | initialize_project_config | extract_node_configuration,,11,0,,production module,code-inferred
COMFY-CLI-MODULE-C65AB1D65E85,comfy_cli/registry/types.py,comfy_cli.registry.types,custom-node registry,,NodeVersion | Node | PublishNodeVersionResponse | URLs | Model | ComfyConfig | License | ProjectConfig | PyProjectConfig,0,9,,production module,code-inferred
COMFY-CLI-MODULE-9B821055DC73,comfy_cli/resolve_python.py,comfy_cli.resolve_python,core service,resolve_workspace_python | create_workspace_venv | ensure_workspace_python,,5,0,,production module,code-inferred
COMFY-CLI-MODULE-94AA7B769ED8,comfy_cli/schemas/__init__.py,comfy_cli.schemas.__init__,core service,,,0,0,,production module,code-inferred
COMFY-CLI-MODULE-8850346567D2,comfy_cli/skills/__init__.py,comfy_cli.skills.__init__,agent skill integration,bundled_skill_names | skill_content | load_skill_source | manifest_path | read_manifest | write_manifest | plan_install | install | uninstall | prune_retired,TargetPlan | TargetResult | SkillSource,29,3,,production module,code-inferred
COMFY-CLI-MODULE-3643C7760AF3,comfy_cli/skills/comfy/__init__.py,comfy_cli.skills.comfy.__init__,agent skill integration,,,0,0,,production module,code-inferred
