key,locales_present,locale_count,reference_hint,availability,feature_id,source,evidence_level
chooser.stoppedActionGatedReason,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
chooser.title,en;zh,2,dynamic-or-unreferenced,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
chooser.updatePill,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
chooser.viewErrorTooltip,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
cloud.capacityDegraded,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
cloud.capacityDegradedHint,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
cloud.capacityDisabled,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
cloud.capacityDisabledHint,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
cloud.capacityProceed,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
cloud.desc,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
cloud.label,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
cloud.signInBanner.copied,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
cloud.signInBanner.copy,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
cloud.signInBanner.dismiss,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
cloud.signInBanner.message,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
cloud.signInBanner.openAgain,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
comfyLifecycle.crashedDesc,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
comfyLifecycle.crashedDescAccessViolation,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
comfyLifecycle.crashedDescLogsHint,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
