record_id,path,node_candidate,layout,registry_match_kind,corroboration_status,corroborated_feature_ids,embedded_doc_record_ids,evidence_level
COMFY-DOC-NODE-CC8E3CE6C895,built-in-nodes/Hunyuan3Dv2Conditioning.mdx,Hunyuan3Dv2Conditioning,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0228,COMFY-EMBEDDOC-888D9387333F,documented-only
COMFY-DOC-NODE-7EBF5ED90F90,built-in-nodes/Hunyuan3Dv2ConditioningMultiView.mdx,Hunyuan3Dv2ConditioningMultiView,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0229,COMFY-EMBEDDOC-D86E6767FBA1,documented-only
COMFY-DOC-NODE-66E37A255522,built-in-nodes/HunyuanImageToVideo.mdx,HunyuanImageToVideo,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0230,COMFY-EMBEDDOC-E3DD980697F9,documented-only
COMFY-DOC-NODE-438FB7D45E23,built-in-nodes/HunyuanRefinerLatent.mdx,HunyuanRefinerLatent,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0231,COMFY-EMBEDDOC-2215BF411093,documented-only
COMFY-DOC-NODE-CFFAAB3ED600,built-in-nodes/HunyuanVideo15ImageToVideo.mdx,HunyuanVideo15ImageToVideo,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0232,COMFY-EMBEDDOC-F8716A60FA4A,documented-only
COMFY-DOC-NODE-CD1493780736,built-in-nodes/HunyuanVideo15LatentUpscaleWithModel.mdx,HunyuanVideo15LatentUpscaleWithModel,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0233,COMFY-EMBEDDOC-0EB8047A4B93,documented-only
COMFY-DOC-NODE-D880C4E9393D,built-in-nodes/HunyuanVideo15SuperResolution.mdx,HunyuanVideo15SuperResolution,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0234,COMFY-EMBEDDOC-7A26A77E1CA7,documented-only
COMFY-DOC-NODE-518720AAEA24,built-in-nodes/HyperTile.mdx,HyperTile,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0236,COMFY-EMBEDDOC-88DF18DA148D,documented-only
COMFY-DOC-NODE-631A11170622,built-in-nodes/HypernetworkLoader.mdx,HypernetworkLoader,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0235,COMFY-EMBEDDOC-5A4403531A7F,documented-only
COMFY-DOC-NODE-DA59E1B33583,built-in-nodes/Ideogram4Scheduler.mdx,Ideogram4Scheduler,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0237,COMFY-EMBEDDOC-A6C83D39C47C,documented-only
COMFY-DOC-NODE-DC44C15C343A,built-in-nodes/IdeogramV1.mdx,IdeogramV1,top-level-synced-or-node,provider-unverified,documented-only,,COMFY-EMBEDDOC-3FBBEB254B07,documented-only
COMFY-DOC-NODE-693928620064,built-in-nodes/IdeogramV2.mdx,IdeogramV2,top-level-synced-or-node,provider-unverified,documented-only,,COMFY-EMBEDDOC-0C4ADCCCD070,documented-only
COMFY-DOC-NODE-E5ABD9A9FCCE,built-in-nodes/IdeogramV3.mdx,IdeogramV3,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0238,COMFY-EMBEDDOC-378BF010334D,documented-only
COMFY-DOC-NODE-6CE521E0596E,built-in-nodes/IdeogramV4.mdx,IdeogramV4,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0239,COMFY-EMBEDDOC-96B9C5FD976E,documented-only
COMFY-DOC-NODE-33291D62AB10,built-in-nodes/ImageAddNoise.mdx,ImageAddNoise,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0240,COMFY-EMBEDDOC-39B145D3684D,documented-only
COMFY-DOC-NODE-3FE1E8EAF24D,built-in-nodes/ImageBatch.mdx,ImageBatch,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0241,COMFY-EMBEDDOC-F7B2A74431BF,documented-only
COMFY-DOC-NODE-C882F2CC8A7E,built-in-nodes/ImageBlend.mdx,ImageBlend,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0242,COMFY-EMBEDDOC-1520A75904E3,documented-only
COMFY-DOC-NODE-BE80D5A97945,built-in-nodes/ImageBlur.mdx,ImageBlur,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0243,COMFY-EMBEDDOC-115970647DBE,documented-only
COMFY-DOC-NODE-78FB63B251F0,built-in-nodes/ImageColorToMask.mdx,ImageColorToMask,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0244,COMFY-EMBEDDOC-7F7DA4480B64,documented-only
COMFY-DOC-NODE-41EC611C0B4F,built-in-nodes/ImageCompare.mdx,ImageCompare,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0245,COMFY-EMBEDDOC-309A518DC323,documented-only
COMFY-DOC-NODE-14FFB34AA9FD,built-in-nodes/ImageCompositeMasked.mdx,ImageCompositeMasked,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0246,COMFY-EMBEDDOC-9A308581DEAB,documented-only
COMFY-DOC-NODE-090E903C2A62,built-in-nodes/ImageCrop.mdx,ImageCrop,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0247,COMFY-EMBEDDOC-07D1DEB60C56,documented-only
COMFY-DOC-NODE-8CA048D1BEFF,built-in-nodes/ImageCropV2.mdx,ImageCropV2,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0248,COMFY-EMBEDDOC-8E6ECAC73548,documented-only
COMFY-DOC-NODE-27B1FB4EAC87,built-in-nodes/ImageDeduplication.mdx,ImageDeduplication,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0249,COMFY-EMBEDDOC-B454CA745416,documented-only
COMFY-DOC-NODE-B334F47A000B,built-in-nodes/ImageFlip.mdx,ImageFlip,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0250,COMFY-EMBEDDOC-44DDBE3F4726,documented-only
COMFY-DOC-NODE-346F8CEEDFBE,built-in-nodes/ImageFromBatch.mdx,ImageFromBatch,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0251,COMFY-EMBEDDOC-45B720F7964C,documented-only
COMFY-DOC-NODE-DD6082AE8165,built-in-nodes/ImageGrid.mdx,ImageGrid,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0252,COMFY-EMBEDDOC-324B1C64F85B,documented-only
COMFY-DOC-NODE-B94CED9E11DE,built-in-nodes/ImageHistogram.mdx,ImageHistogram,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0253,COMFY-EMBEDDOC-97E6290EEEA5,documented-only
COMFY-DOC-NODE-5C9C9606EB9C,built-in-nodes/ImageInvert.mdx,ImageInvert,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0254,COMFY-EMBEDDOC-ACD73D258F46,documented-only
COMFY-DOC-NODE-27BE54D48FE8,built-in-nodes/ImageMergeTileList.mdx,ImageMergeTileList,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0255,COMFY-EMBEDDOC-6436F71D09AD,documented-only
COMFY-DOC-NODE-BAA53A1B9CB7,built-in-nodes/ImageOnlyCheckpointLoader.mdx,ImageOnlyCheckpointLoader,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0256,COMFY-EMBEDDOC-CE2D3CFBA386,documented-only
